city,_housing_status,_subcategory,_categorized_address_data,_source,arrests
Oakland,unhoused,emergency shelter,722 WASHINGTON ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,7070 S HARLAN RD,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,663 VALENCIA ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,525 5TH ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,3547 S GOLDEN STATE BLVD,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,4848 INTERNATIONAL BLVD,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,1401 W 4TH ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,17600 SANTA FE AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,2166 SACRAMENTO ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,211 13TH ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,1395 BANCROFT AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,330 ELLIS ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,190 MILL ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,2260 SAN PABLO AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,2794 GARDEN ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,2047 ARNOLD INDUSTRIAL WAY,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,6330 THORNTON AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,290 TURK ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,1744 UNIVERSITY AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,6118 INTERNATIONAL BLVD,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Portland,unhoused,social service,400 BLOCK W BURNSIDE ST,,
Portland,unhoused,emergency shelter,PORTLAND RESCUE MISSION,,
Portland,unhoused,social service,999 N THUNDERBIRD WAY,https://goo.gl/maps/MGMeFes9NTLbU8UaA,
Portland,unhoused,social service,5600 NE GLISAN ST,https://multco.us/sites/default/files/health/documents/community_resource_list.pdf,
Portland,unhoused,social service,627 SW 18TH AVE,http://www.homeforward.org/find-a-home/get-an-apartment/yards-union-station,
Portland,unhoused,social service,1131 SE OAK ST,https://goo.gl/maps/VUmMCdVHRev7sgE38,
Portland,unhoused,social service,310 NW GLISAN ST,http://brittanyplacecr.com/,
Portland,unhoused,incarceration,11540 NE INVERNESS DR,https://multco.us/sites/default/files/health/documents/community_resource_list.pdf,
Portland,unhoused,social service,727 W BURNSIDE ST,https://web.archive.org/web/20210116020217/http://homeforward.org/find-a-home/get-an-apartment/sellwood-center,
